,bull_market,Daily_ROI_past_ma5
0,1,
1,1,0.027605619718309805
2,1,0.019906118982850496
3,0,0.01820568971035032
4,1,0.00819461651069072
5,0,0.012578331208980076
6,0,0.0053716777055696704
7,0,-0.0007197329288080014
8,1,-0.006101827238603622
9,1,0.0028910693615773774
10,1,-0.0026279881277082454
11,1,-0.0005421983903390296
12,0,0.00373312304966564
13,0,0.0007354636816006774
14,0,-0.008174333680280574
15,1,-0.01000395166739848
16,0,-0.008446753853731583
17,0,-0.009377959744176694
18,1,-0.0048536215481862766
19,0,0.0019882176109595707
20,1,0.0021383707030447644
21,0,0.00110592021175709
22,1,-0.00047467158983985954
23,0,0.0015946332726372021
24,0,-0.004145807091362164
25,0,-0.004688396320290068
26,1,-0.007174531857555612
27,0,-0.004412008262150671
28,0,-0.00851632544772881
29,1,-0.007982119805498544
30,0,-0.005343446376720785
31,0,-0.003940499196848033
32,0,-0.006216351243114697
33,1,-0.0038735590045467726
34,0,-0.0006030802702880961
35,1,-0.004360549294738951
36,0,0.003505735540030862
37,1,0.0011874220799150098
38,1,0.007881182794911878
39,1,0.012753781560077554
40,0,0.01637062064008634
41,0,0.004485195490666205
42,1,0.005086736443016838
43,0,0.0024522708926703746
44,0,-0.004144308989539078
45,1,-0.006526350067163332
46,0,0.0038305175538581038
47,1,0.0008222681379411658
48,1,-0.002567155138965725
49,1,0.002715300517980429
50,1,0.0071749227444959
51,1,0.0021963290256762995
52,0,0.011432960846401089
53,0,0.010958005886447771
54,0,0.006486869036380375
55,1,0.0023349499170097787
56,0,0.0015655440396751374
57,0,-0.003865171131116693
58,0,-0.003692602287217385
59,0,-0.004620927465013172
60,0,-0.011072348289170876
61,1,-0.014240516992814695
62,0,-0.009309193273341712
63,1,-0.010324736857820859
64,1,-0.005628926890198155
65,1,0.0027839231440330847
66,1,0.006018539178031755
67,1,0.004533526171201213
68,0,0.009240084729471191
69,0,0.005710030805805883
70,0,0.003188772294054921
71,1,0.002065852158219119
72,1,0.0027164212663469797
73,1,0.0021306288862690285
74,0,0.006703423379432506
75,1,0.008323930518216586
76,1,0.010707402471866091
77,1,0.009059397534721476
78,0,0.013218168046231698
79,0,0.005742733930161327
80,1,0.00247208640741742
81,1,0.003232892230586372
82,0,0.008365484684076302
83,0,0.0008387014985906932
84,0,0.0027743069332644226
85,0,0.0058710299276052615
86,0,-0.0002459114225079849
87,0,-0.006818654334763477
88,0,-0.008383922243273462
89,0,-0.012081757047382237
90,1,-0.013784858923790066
91,0,-0.009267403195747825
92,0,-0.009580228387661198
93,1,-0.008319719065398887
94,1,-0.0031762885957062545
95,0,0.0007230624466954608
96,1,-0.001999857896950021
97,1,0.0016973017511421734
98,0,0.0027297568461903624
99,1,0.0009027915972899706
100,1,-0.0007773757771204132
101,1,0.0030329968776318973
102,1,0.001469350022361615
103,0,0.0013309115862036502
104,1,0.0005055084302692091
105,0,0.001044074839426826
106,0,-0.0041164521787322664
107,1,-0.009647341798731862
108,0,-0.007457710327420932
109,1,-0.006592753363411701
110,0,-0.005746431844316507
111,1,-0.003323976530431086
112,0,0.0017247177054769522
113,1,-0.0017135707827521016
114,1,0.0022321742784312724
115,1,0.0015199219510828917
116,0,0.0033524544962181225
117,0,0.0005003854881717625
118,1,-0.00045849401470408993
119,1,-0.0006025949666839551
120,1,0.0022180453065942596
121,0,0.0044177637710278725
122,0,0.004969192238834722
123,1,0.006282574150347113
124,0,0.006667717943536017
125,0,0.0006551172625701068
126,1,-0.004309188174998066
127,1,0.0016617478307487453
128,1,0.0042358080491846795
129,0,0.005095855981558825
130,0,0.007201600672325388
131,1,0.006066231336093518
132,1,0.004946550180052786
133,0,0.004202613427926874
134,0,-0.005985234257586996
135,1,-0.006299791613865501
136,1,-0.002630801911702103
137,1,-0.004752569780945656
138,1,-0.00033970578541301017
139,1,0.009080600680535077
140,1,0.011847413057667096
141,1,0.011872128162732264
142,1,0.0185296862574014
143,0,0.013337172495038829
144,1,0.01013206690810697
145,0,0.011002219591883198
146,1,0.009176095937865522
147,0,0.002061471722844025
148,0,-0.002078009609387506
149,0,-0.004161644555876964
150,0,-0.01121731141343411
151,1,-0.01270035147837241
152,1,-0.010122436391179346
153,1,-0.006135552614461017
154,0,-0.0022402149096228253
155,0,0.001022936827153689
156,1,0.0018179060719297386
157,0,0.0026372457792572224
158,1,0.0008253624289500855
159,0,0.0010030367129256275
160,0,-0.0010711801382698807
161,1,-0.0002185819364233424
162,1,-0.0017908789492476953
163,0,0.004132842503683297
164,0,-4.669848794192424e-06
165,1,0.0021722845017628388
166,0,0.0029383529221751244
167,1,0.0008041489133077766
168,0,-0.0032375826142542986
169,0,-0.0026236504318331534
170,1,-0.0032752758713423076
171,0,-0.002538533356850587
172,0,-0.002333633030405827
173,0,-0.004489289532351196
174,1,-0.00346915385541708
175,1,-0.00034963230709773136
176,1,-0.00026014191652574975
177,1,-2.7568270027130424e-05
178,0,0.003055508788951737
179,0,0.001127720934989022
180,0,-0.0016547028089967588
181,1,-0.00390968234164186
182,0,-0.003411037944277088
183,1,-0.0053271730021896046
184,1,0.00037883451666078196
185,0,0.004511388180349434
186,0,0.005889460706291838
187,1,0.004274623991097913
188,0,0.006482972179969527
189,0,0.0032033300805300495
190,0,-0.0011142329346942857
191,0,-0.0012165733740656338
192,1,-0.001561592703558982
193,0,-0.0016797943810603565
194,1,-0.0034589400049403196
195,0,-0.0014403610123886873
196,0,-0.004541027203457669
197,1,-0.0038023688679454776
198,1,-0.0038213625879563356
199,0,-0.0006602728501617283
200,0,-0.0016085329275128159
201,0,0.0005729036854833453
202,1,-0.0015323542077974722
203,1,0.0008546844120220058
204,0,0.0019595216659793876
205,0,0.0020362079547749127
206,0,0.002805490704291829
207,1,0.005021300789343623
208,1,0.002556122996039872
209,0,0.004087869504061628
210,1,0.0032527502435733243
211,1,0.007378341436433539
212,1,0.007886227636449354
213,1,0.00952587446342067
214,1,0.006430319440760883
215,0,0.011317374026423507
216,1,0.0057034123640151025
217,0,0.007691449678223697
218,1,0.0027740931328834087
219,0,0.0034207175065149634
220,0,-0.008844799194473358
221,1,-0.008932654733486558
222,1,-0.005626308761669064
223,1,-0.003485476722374982
224,1,-0.0040239786066929035
225,1,0.006837425954149217
226,0,0.010415988672137468
227,1,0.004597613942180835
228,0,0.005600942212268903
229,1,0.002568629618863061
230,1,0.0020162682847409885
231,1,0.0024628205371286216
232,0,0.0036685885670751732
233,0,0.0014237391830796513
234,1,0.002742618810968598
235,1,0.0009547302572631495
236,0,0.00045742493653212616
237,0,-0.0008559457978372925
238,0,-0.0004135157438043194
239,0,0.0004314543867959278
240,1,-0.00022718409620806767
241,0,-0.0004587090602146699
242,1,-0.001069873213056218
243,1,-0.0002959169040589714
244,0,0.00019608651124966084
245,1,-0.0011263001003662195
246,1,-0.001542696942452159
247,1,-0.00025235253970486995
248,1,0.0006854256571729658
249,1,0.0024640138550634945
250,1,0.006679636935181736
251,0,0.010517468763292544
252,1,0.009678093176873811
253,1,0.009964213602760244
254,0,0.010294009729528134
255,0,0.007196697271297068
256,0,0.0021802443728466303
257,0,0.0027477564595190726
258,1,-0.0022764886211153633
